rank,title,Previous Rank,Revenues ($M),Revenue Change %,Profits ($M),Profit Change %,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,Rank increase
1,Walmart,1,500343.0,3.0,9862.0,-27.7,204522.0,263563.0,2300000,0
2,Exxon Mobil,4,244363.0,17.4,19710.0,151.4,348691.0,316157.0,71200,2
3,Berkshire Hathaway,2,242137.0,8.3,44940.0,86.7,702095.0,492008.0,377000,-1
4,Apple,3,229234.0,6.3,48351.0,5.8,375319.0,851318.0,123000,-1
5,UnitedHealth Group,6,201159.0,8.8,10558.0,50.5,139058.0,207080.0,260000,1
6,McKesson,5,198533.0,3.1,5070.0,124.5,60969.0,29067.0,64500,-1
7,CVS Health,7,184765.0,4.1,6622.0,24.5,95131.0,63114.0,203000,0
8,Amazon.com,12,177866.0,30.8,3033.0,27.9,131310.0,700668.0,566000,4
9,AT&T,9,160546.0,-2.0,29450.0,127.0,444097.0,218946.0,254000,0
10,General Motors,8,157311.0,-5.5,,-141.0,212482.0,50972.0,180000,-2
11,Ford Motor,10,156776.0,3.3,7602.0,65.4,257808.0,44244.0,202000,-1
12,AmerisourceBergen,11,153144.0,4.3,364.5,-74.5,35317.0,18938.0,19500,-1
13,Chevron,19,134533.0,25.1,9195.0,,253806.0,217845.0,51900,6
14,Cardinal Health,15,129976.0,6.9,1288.0,-9.7,40112.0,19726.0,40400,1
15,Costco,16,129025.0,8.7,2679.0,14.0,36347.0,82687.0,182000,1
16,Verizon,14,126034.0,0.0,30101.0,129.3,257143.0,197497.0,155400,-2
17,Kroger,18,122662.0,6.4,1907.0,-3.4,37197.0,20828.0,449000,1
18,General Electric,13,122274.0,-3.5,,-165.5,377945.0,117054.0,313000,-5
19,Walgreens Boots Alliance,17,118214.0,0.7,4078.0,-2.3,66009.0,64924.0,290000,-2
20,JPMorgan Chase,21,113899.0,8.0,24441.0,-1.2,2533600.0,375043.0,252539,1
21,Fannie Mae,20,112394.0,4.9,2463.0,-80.0,3345529.0,1633.0,7200,-1
22,Alphabet,27,110855.0,22.8,12662.0,-35.0,197295.0,719124.0,80110,5
23,Home Depot,23,100904.0,6.7,8630.0,8.5,44529.0,206272.0,413000,0
24,Bank of America Corp.,26,100264.0,7.0,18232.0,1.8,2281234.0,306618.0,209376,2
25,Express Scripts Holding,22,100065.0,-0.2,4517.4,32.7,54256.0,38791.0,26600,-3
26,Wells Fargo,25,97741.0,3.8,22183.0,1.1,1951757.0,255556.0,262700,-1
27,Boeing,24,93392.0,-1.2,8197.0,67.5,92333.0,192539.0,140800,-3
28,Phillips 66,34,91568.0,26.5,5106.0,228.4,54371.0,44730.0,14600,6
29,Anthem,29,90040.0,6.1,3842.8,55.6,70540.0,56182.0,56000,0
30,Microsoft,28,89950.0,5.4,21204.0,26.2,241086.0,702760.0,124000,-2
31,Valero Energy,37,88407.0,26.0,4065.0,77.6,50158.0,39977.0,10015,6
32,Citigroup,30,87966.0,6.8,,-145.6,1842465.0,172822.0,209000,-2
33,Comcast,31,84526.0,5.1,22714.0,161.2,186949.0,158703.0,164000,-2
34,IBM,32,79139.0,-1.0,5753.0,-51.5,125356.0,141335.0,397800,-2
35,Dell Technologies,41,78660.0,21.4,,,122281.0,,145000,6
36,State Farm Insurance Cos.,33,78331.0,2.9,2206.5,529.9,272345.0,,65664,-3
37,Johnson & Johnson,35,76450.0,6.3,1300.0,-92.1,157303.0,343780.0,134000,-2
38,Freddie Mac,39,74676.0,13.7,5625.0,-28.0,2049776.0,878.0,6165,1
39,Target,38,71879.0,3.4,2934.0,7.2,38999.0,37409.0,345000,-1
40,Lowes,40,68619.0,5.5,3447.0,11.4,35291.0,72812.0,255000,0
41,Marathon Petroleum,51,67610.0,21.0,3432.0,192.3,49047.0,34683.0,43800,10
42,Procter & Gamble,36,66217.0,-7.7,15326.0,45.9,120406.0,199865.0,95000,-6
43,MetLife,42,66153.0,4.2,4010.0,401.3,719892.0,47572.0,49000,-1
44,UPS,46,65872.0,8.2,4910.0,43.1,45403.0,90156.0,346415,2
45,PepsiCo,44,63525.0,1.2,4857.0,-23.3,79804.0,154933.0,263000,-1
46,Intel,47,62761.0,5.7,9601.0,-6.9,123249.0,243109.0,102700,1
47,DowDuPont,62,62683.0,30.2,1460.0,-66.2,192164.0,148186.0,98000,15
48,Archer Daniels Midland,45,60828.0,-2.4,1595.0,24.7,39963.0,24238.0,31300,-3
49,Aetna,43,60535.0,-4.1,1904.0,-16.2,55151.0,55229.0,47950,-6
50,FedEx,58,60319.0,19.8,2997.0,64.7,48552.0,64161.0,357000,8
51,United Technologies,50,59837.0,4.5,4552.0,-10.0,96920.0,100667.0,204700,-1
52,Prudential Financial,48,59689.0,1.5,7863.0,80.0,831921.0,43686.0,49705,-4
53,Albertsons Cos.,49,59678.0,1.6,,,23755.0,,273000,-4
54,Sysco,57,55371.0,9.9,1142.5,20.3,17757.0,31294.0,66500,3
55,Disney,52,55137.0,-0.9,8980.0,-4.4,95789.0,151029.0,199000,-3
56,Humana,53,53767.0,-1.1,2448.0,298.7,27178.0,37122.0,45900,-3
57,Pfizer,54,52546.0,-0.5,21308.0,195.3,171797.0,211115.0,90200,-3
