,Epoch,Batch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,0,0,2.242,0.125,2.292,0.163
1,0,375,0.649,0.822,0.385,0.884
2,0,750,0.373,0.89,0.34,0.903
3,0,1125,0.353,0.9,0.331,0.9
4,0,1500,0.327,0.903,0.322,0.907
5,1,1875,0.204,0.938,0.306,0.914
6,1,2250,0.308,0.911,0.306,0.912
7,1,2625,0.307,0.915,0.293,0.92
8,1,3000,0.307,0.913,0.286,0.919
9,1,3375,0.307,0.914,0.284,0.918
10,2,3750,0.45,0.906,0.288,0.917
11,2,4125,0.305,0.912,0.281,0.921
12,2,4500,0.304,0.914,0.297,0.915
13,2,4875,0.288,0.921,0.308,0.914
14,2,5250,0.287,0.918,0.29,0.92
